SSID,Signal Strength (dBm),X Position,Y Position
USTH-Rector Board,-71.0,0.0,1.0
USTH_Guest1,-80.0,0.0,1.0
USTH_Guest2,-74.0,0.0,1.0
USTH_Guest3,-80.0,0.0,1.0
USTH_Guest4,-80.0,0.0,1.0
USTH_Guest5,-80.0,0.0,1.0
USTH_Guest6,-76.0,0.0,1.0
USTH_Guest7,-69.0,0.0,1.0
USTH_Guest8,-80.0,0.0,2.0
USTH_Guest9,-57.0,0.0,2.0
USTH_MGMT1,-81.0,0.0,2.0
USTH_MGMT3,-70.0,0.0,2.0
USTH_MGMT4,-81.0,0.0,2.0
USTH_MGMT5,-72.0,0.0,2.0
USTH_MGMT6,-74.0,0.0,2.0
USTH_MGMT8,-69.0,0.0,2.0
USTH_MGMT9,-79.0,0.0,2.0
USTH_MGMT10,-83.0,0.0,2.0
USTH_MGMT11,-76.0,0.0,2.0
USTH_Office1,-79.0,0.0,2.0
USTH_Office2,-80.0,0.0,2.0
USTH_Office3,-82.0,0.0,2.0
USTH_Office4,-73.0,0.0,2.0
USTH_Office5,-74.0,0.0,2.0
USTH_Office6,-71.0,0.0,2.0
USTH_Office7,-82.0,0.0,2.0
USTH_Office8,-71.0,0.0,2.0
USTH_Office9,-58.0,0.0,2.0
USTH_Office10,-67.0,0.0,2.0
USTH_Office11,-80.0,0.0,2.0
USTH_Office12,-76.0,0.0,2.0
USTH_Student1,-78.0,0.0,2.0
USTH_Student2,-82.0,0.0,2.0
USTH_Student3,-80.0,0.0,2.0
USTH_Student4,-72.0,0.0,2.0
USTH_Student5,-82.0,0.0,2.0
USTH_Student6,-72.0,0.0,2.0
USTH_Student7,-81.0,0.0,2.0
USTH_Student8,-57.0,0.0,2.0
USTH_Student9,-77.0,0.0,2.0
USTH_Student10,-74.0,0.0,2.0
ICTLab,-80.0,0.0,2.0
ICTLab 5GHz,-76.0,0.0,2.0
ICTLab Students,-79.0,0.0,2.0
USTH-Rector Board,-67.0,0.0,2.0
USTH_Guest1,-82.0,0.0,2.0
USTH_Guest3,-70.0,0.0,2.0
USTH_Guest4,-57.0,0.0,2.0
USTH_Guest6,-71.0,0.0,2.0
USTH_Guest7,-80.0,0.0,2.0
USTH_Guest8,-74.0,0.0,2.0
USTH_Guest9,-80.0,0.0,2.0
USTH_Guest10,-80.0,0.0,2.0
USTH_MGMT1,-80.0,0.0,2.0
USTH_MGMT2,-76.0,0.0,2.0
USTH_MGMT3,-69.0,0.0,2.0
USTH_MGMT4,-80.0,0.0,3.0
USTH_MGMT5,-57.0,0.0,3.0
USTH_MGMT7,-81.0,0.0,3.0
USTH_MGMT9,-70.0,0.0,3.0
USTH_MGMT10,-81.0,0.0,3.0
USTH_MGMT11,-72.0,0.0,3.0
USTH_Office1,-74.0,0.0,3.0
USTH_Office3,-69.0,0.0,3.0
USTH_Office4,-79.0,0.0,3.0
USTH_Office5,-83.0,0.0,3.0
USTH_Office6,-76.0,0.0,3.0
USTH_Office7,-79.0,0.0,3.0
USTH_Office8,-80.0,0.0,3.0
USTH_Office9,-82.0,0.0,3.0
USTH_Office10,-73.0,0.0,3.0
USTH_Office11,-74.0,0.0,3.0
USTH_Office12,-71.0,0.0,3.0
USTH_Student1,-82.0,0.0,3.0
USTH_Student2,-71.0,0.0,3.0
USTH_Student3,-58.0,0.0,3.0
USTH_Student4,-67.0,0.0,3.0
USTH_Student5,-80.0,0.0,3.0
USTH_Student6,-76.0,0.0,3.0
USTH_Student7,-78.0,0.0,3.0
USTH_Student8,-82.0,0.0,3.0
USTH_Student9,-80.0,0.0,3.0
USTH_Student10,-72.0,0.0,3.0
ICTLab,-82.0,0.0,3.0
ICTLab 5GHz,-72.0,0.0,3.0
ICTLab Guests,-81.0,0.0,3.0
ICTLab Students,-57.0,0.0,3.0
USTH-Rector Board,-77.0,0.0,3.0
USTH_Guest1,-74.0,0.0,3.0
USTH_Guest2,-80.0,0.0,3.0
USTH_Guest3,-76.0,0.0,3.0
USTH_Guest5,-79.0,0.0,3.0
USTH_Guest6,-67.0,0.0,3.0
USTH_Guest7,-82.0,0.0,3.0
USTH_Guest9,-70.0,0.0,3.0
USTH_Guest10,-57.0,0.0,3.0
USTH_MGMT2,-71.0,0.0,3.0
USTH_MGMT3,-80.0,0.0,3.0
USTH_MGMT4,-74.0,0.0,3.0
USTH_MGMT5,-80.0,0.0,3.0
USTH_MGMT6,-80.0,0.0,3.0
USTH_MGMT7,-80.0,0.0,3.0
USTH_MGMT8,-76.0,0.0,3.0
USTH_MGMT9,-69.0,0.0,3.0
USTH_MGMT10,-80.0,0.0,4.0
USTH_MGMT11,-57.0,0.0,4.0
USTH_Office2,-81.0,0.0,4.0
USTH_Office4,-70.0,0.0,4.0
USTH_Office5,-81.0,0.0,4.0
USTH_Office6,-72.0,0.0,4.0
USTH_Office7,-74.0,0.0,4.0
USTH_Office9,-69.0,0.0,4.0
USTH_Office10,-79.0,0.0,4.0
USTH_Office11,-83.0,0.0,4.0
USTH_Office12,-76.0,0.0,4.0
USTH_Student1,-79.0,0.0,4.0
USTH_Student2,-80.0,0.0,4.0
USTH_Student3,-82.0,0.0,4.0
USTH_Student4,-73.0,0.0,4.0
USTH_Student5,-74.0,0.0,4.0
USTH_Student6,-71.0,0.0,4.0
USTH_Student7,-82.0,0.0,4.0
USTH_Student8,-71.0,0.0,4.0
USTH_Student9,-58.0,0.0,4.0
USTH_Student10,-67.0,0.0,4.0
ICTLab,-80.0,0.0,4.0
ICTLab 5GHz,-76.0,0.0,4.0
ICTLab Guests,-78.0,0.0,4.0
ICTLab Students,-82.0,0.0,4.0
USTH-Rector Board,-80.0,0.0,4.0
USTH_Guest1,-72.0,0.0,4.0
USTH_Guest2,-82.0,0.0,4.0
USTH_Guest3,-72.0,0.0,4.0
USTH_Guest4,-81.0,0.0,4.0
USTH_Guest5,-57.0,0.0,4.0
USTH_Guest6,-77.0,0.0,4.0
USTH_Guest7,-74.0,0.0,4.0
USTH_Guest8,-80.0,0.0,4.0
USTH_Guest9,-76.0,0.0,4.0
USTH_MGMT1,-79.0,0.0,4.0
USTH_MGMT2,-67.0,0.0,4.0
USTH_MGMT3,-82.0,0.0,4.0
USTH_MGMT5,-70.0,0.0,4.0
USTH_MGMT6,-57.0,0.0,4.0
USTH_MGMT8,-71.0,0.0,4.0
USTH_MGMT9,-80.0,0.0,4.0
USTH_MGMT10,-74.0,0.0,4.0
USTH_MGMT11,-80.0,0.0,4.0
USTH_Office1,-80.0,0.0,4.0
USTH_Office2,-80.0,0.0,4.0
USTH_Office3,-76.0,0.0,4.0
USTH_Office4,-69.0,0.0,4.0
USTH_Office5,-80.0,0.0,5.0
USTH_Office6,-57.0,0.0,5.0
USTH_Office8,-81.0,0.0,5.0
USTH_Office10,-70.0,0.0,5.0
USTH_Office11,-81.0,0.0,5.0
USTH_Office12,-72.0,0.0,5.0
USTH_Student1,-74.0,0.0,5.0
USTH_Student3,-69.0,0.0,5.0
USTH_Student4,-79.0,0.0,5.0
USTH_Student5,-83.0,0.0,5.0
USTH_Student6,-76.0,0.0,5.0
USTH_Student7,-79.0,0.0,5.0
USTH_Student8,-80.0,0.0,5.0
USTH_Student9,-82.0,0.0,5.0
USTH_Student10,-73.0,0.0,5.0
ICTLab,-74.0,0.0,5.0
ICTLab 5GHz,-71.0,0.0,5.0
ICTLab Guests,-82.0,0.0,5.0
ICTLab Students,-71.0,0.0,5.0
USTH-Rector Board,-58.0,0.0,5.0
USTH_Guest1,-67.0,0.0,5.0
USTH_Guest2,-80.0,0.0,5.0
USTH_Guest3,-76.0,0.0,5.0
USTH_Guest4,-78.0,0.0,5.0
USTH_Guest5,-82.0,0.0,5.0
USTH_Guest6,-80.0,0.0,5.0
USTH_Guest7,-72.0,0.0,5.0
USTH_Guest8,-82.0,0.0,5.0
USTH_Guest9,-72.0,0.0,5.0
USTH_Guest10,-81.0,0.0,5.0
USTH_MGMT1,-57.0,0.0,5.0
USTH_MGMT2,-77.0,0.0,5.0
USTH_MGMT3,-74.0,0.0,5.0
USTH_MGMT4,-80.0,0.0,5.0
USTH_MGMT5,-76.0,0.0,5.0
USTH_MGMT7,-79.0,0.0,5.0
USTH_MGMT8,-67.0,0.0,5.0
USTH_MGMT9,-82.0,0.0,5.0
USTH_MGMT11,-70.0,0.0,5.0
USTH_Office1,-57.0,0.0,5.0
USTH_Office3,-71.0,0.0,5.0
USTH_Office4,-80.0,0.0,5.0
USTH_Office5,-74.0,0.0,5.0
USTH_Office6,-80.0,0.0,5.0
USTH_Office7,-80.0,0.0,5.0
USTH_Office8,-80.0,0.0,5.0
USTH_Office9,-76.0,0.0,5.0
USTH_Office10,-69.0,0.0,5.0
USTH_Office11,-80.0,0.0,6.0
USTH_Office12,-57.0,0.0,6.0
USTH_Student2,-81.0,0.0,6.0
USTH_Student4,-70.0,0.0,6.0
USTH_Student5,-81.0,0.0,6.0
USTH_Student6,-72.0,0.0,6.0
USTH_Student7,-74.0,0.0,6.0
USTH_Student9,-69.0,0.0,6.0
USTH_Student10,-79.0,0.0,6.0
ICTLab,-83.0,0.0,6.0
ICTLab 5GHz,-76.0,0.0,6.0
ICTLab Guests,-79.0,0.0,6.0
ICTLab Students,-80.0,0.0,6.0
USTH-Rector Board,-82.0,0.0,6.0
USTH_Guest1,-73.0,0.0,6.0
USTH_Guest2,-74.0,0.0,6.0
USTH_Guest3,-71.0,0.0,6.0
USTH_Guest4,-82.0,0.0,6.0
USTH_Guest5,-71.0,0.0,6.0
USTH_Guest6,-58.0,0.0,6.0
USTH_Guest7,-67.0,0.0,6.0
USTH_Guest8,-80.0,0.0,6.0
USTH_Guest9,-76.0,0.0,6.0
USTH_Guest10,-78.0,0.0,6.0
USTH_MGMT1,-82.0,0.0,6.0
USTH_MGMT2,-80.0,0.0,6.0
USTH_MGMT3,-72.0,0.0,6.0
USTH_MGMT4,-82.0,0.0,6.0
USTH_MGMT5,-72.0,0.0,6.0
USTH_MGMT6,-81.0,0.0,6.0
USTH_MGMT7,-57.0,0.0,6.0
USTH_MGMT8,-77.0,0.0,6.0
USTH_MGMT9,-74.0,0.0,6.0
USTH_MGMT10,-80.0,0.0,6.0
USTH_MGMT11,-76.0,0.0,6.0
USTH_Office2,-79.0,0.0,6.0
USTH_Office3,-67.0,0.0,6.0
USTH_Office4,-82.0,0.0,6.0
USTH_Office6,-70.0,0.0,6.0
USTH_Office7,-57.0,0.0,6.0
USTH_Office9,-71.0,0.0,6.0
USTH_Office10,-80.0,0.0,6.0
USTH_Office11,-74.0,0.0,6.0
USTH_Office12,-80.0,0.0,6.0
USTH_Student1,-80.0,0.0,6.0
USTH_Student2,-80.0,0.0,6.0
USTH_Student3,-76.0,0.0,6.0
USTH_Student4,-69.0,0.0,6.0
USTH_Student5,-80.0,0.0,7.0
USTH_Student6,-57.0,0.0,7.0
USTH_Student8,-81.0,0.0,7.0
USTH_Student10,-70.0,0.0,7.0
ICTLab,-81.0,0.0,7.0
ICTLab 5GHz,-72.0,0.0,7.0
ICTLab Guests,-74.0,0.0,7.0
USTH-Rector Board,-69.0,0.0,7.0
USTH_Guest1,-79.0,0.0,7.0
USTH_Guest2,-83.0,0.0,7.0
USTH_Guest3,-76.0,0.0,7.0
USTH_Guest4,-79.0,0.0,7.0
USTH_Guest5,-80.0,0.0,7.0
USTH_Guest6,-82.0,0.0,7.0
USTH_Guest7,-73.0,0.0,7.0
USTH_Guest8,-74.0,0.0,7.0
USTH_Guest9,-71.0,0.0,7.0
USTH_Guest10,-82.0,0.0,7.0
USTH_MGMT1,-71.0,0.0,7.0
USTH_MGMT2,-58.0,0.0,7.0
USTH_MGMT3,-67.0,0.0,7.0
USTH_MGMT4,-80.0,0.0,7.0
USTH_MGMT5,-76.0,0.0,7.0
USTH_MGMT6,-78.0,0.0,7.0
USTH_MGMT7,-82.0,0.0,7.0
USTH_MGMT8,-80.0,0.0,7.0
USTH_MGMT9,-72.0,0.0,7.0
USTH_MGMT10,-82.0,0.0,7.0
USTH_MGMT11,-72.0,0.0,7.0
USTH_Office1,-81.0,0.0,7.0
USTH_Office2,-57.0,0.0,7.0
USTH_Office3,-77.0,0.0,7.0
USTH_Office4,-74.0,0.0,7.0
USTH_Office5,-80.0,0.0,7.0
USTH_Office6,-76.0,0.0,7.0
USTH_Office8,-79.0,0.0,7.0
USTH_Office9,-67.0,0.0,7.0
USTH_Office10,-82.0,0.0,7.0
USTH_Office12,-70.0,0.0,7.0
USTH_Student1,-57.0,0.0,7.0
USTH_Student3,-71.0,0.0,7.0
USTH_Student4,-80.0,0.0,7.0
USTH_Student5,-74.0,0.0,7.0
USTH_Student6,-80.0,0.0,7.0
USTH_Student7,-80.0,0.0,7.0
USTH_Student8,-80.0,0.0,7.0
USTH_Student9,-76.0,0.0,7.0
USTH_Student10,-69.0,0.0,7.0
ICTLab,-80.0,0.0,8.0
ICTLab 5GHz,-57.0,0.0,8.0
ICTLab Students,-81.0,0.0,8.0
USTH_Guest1,-70.0,0.0,8.0
USTH_Guest2,-81.0,0.0,8.0
USTH_Guest3,-72.0,0.0,8.0
USTH_Guest4,-74.0,0.0,8.0
USTH_Guest6,-69.0,0.0,8.0
USTH_Guest7,-79.0,0.0,8.0
USTH_Guest8,-83.0,0.0,8.0
USTH_Guest9,-76.0,0.0,8.0
USTH_Guest10,-79.0,0.0,8.0
USTH_MGMT1,-80.0,0.0,8.0
USTH_MGMT2,-82.0,0.0,8.0
USTH_MGMT3,-73.0,0.0,8.0
USTH_MGMT4,-74.0,0.0,8.0
USTH_MGMT5,-71.0,0.0,8.0
USTH_MGMT6,-82.0,0.0,8.0
USTH_MGMT7,-71.0,0.0,8.0
USTH_MGMT8,-58.0,0.0,8.0
USTH_MGMT9,-67.0,0.0,8.0
USTH_MGMT10,-80.0,0.0,8.0
USTH_MGMT11,-76.0,0.0,8.0
USTH_Office1,-78.0,0.0,8.0
USTH_Office2,-82.0,0.0,8.0
USTH_Office3,-80.0,0.0,8.0
USTH_Office4,-72.0,0.0,8.0
USTH_Office5,-82.0,0.0,8.0
USTH_Office6,-72.0,0.0,8.0
USTH_Office7,-81.0,0.0,8.0
USTH_Office8,-57.0,0.0,8.0
USTH_Office9,-77.0,0.0,8.0
USTH_Office10,-74.0,0.0,8.0
USTH_Office11,-80.0,0.0,8.0
USTH_Office12,-76.0,0.0,8.0
USTH_Student2,-79.0,0.0,8.0
USTH_Student3,-67.0,0.0,8.0
USTH_Student4,-82.0,0.0,8.0
USTH_Student6,-70.0,0.0,8.0
USTH_Student7,-57.0,0.0,8.0
USTH_Student9,-71.0,0.0,8.0
USTH_Student10,-80.0,0.0,8.0
ICTLab,-74.0,0.0,8.0
ICTLab 5GHz,-80.0,0.0,8.0
ICTLab Guests,-80.0,0.0,8.0
ICTLab Students,-80.0,0.0,8.0
USTH-Rector Board,-76.0,0.0,8.0
USTH_Guest1,-69.0,0.0,8.0
USTH_Guest2,-80.0,0.0,9.0
USTH_Guest3,-57.0,0.0,9.0
USTH_Guest5,-81.0,0.0,9.0
USTH_Guest7,-70.0,0.0,9.0
USTH_Guest8,-81.0,0.0,9.0
USTH_Guest9,-72.0,0.0,9.0
USTH_Guest10,-74.0,0.0,9.0
USTH_MGMT2,-69.0,0.0,9.0
USTH_MGMT3,-79.0,0.0,9.0
USTH_MGMT4,-83.0,0.0,9.0
USTH_MGMT5,-76.0,0.0,9.0
USTH_MGMT6,-79.0,0.0,9.0
USTH_MGMT7,-80.0,0.0,9.0
USTH_MGMT8,-82.0,0.0,9.0
USTH_MGMT9,-73.0,0.0,9.0
USTH_MGMT10,-74.0,0.0,9.0
USTH_MGMT11,-71.0,0.0,9.0
USTH_Office1,-82.0,0.0,9.0
USTH_Office2,-71.0,0.0,9.0
USTH_Office3,-58.0,0.0,9.0
USTH_Office4,-67.0,0.0,9.0
USTH_Office5,-80.0,0.0,9.0
USTH_Office6,-76.0,0.0,9.0
USTH_Office7,-78.0,0.0,9.0
USTH_Office8,-82.0,0.0,9.0
USTH_Office9,-80.0,0.0,9.0
USTH_Office10,-72.0,0.0,9.0
USTH_Office11,-82.0,0.0,9.0
USTH_Office12,-72.0,0.0,9.0
USTH_Student1,-81.0,0.0,9.0
USTH_Student2,-57.0,0.0,9.0
USTH_Student3,-77.0,0.0,9.0
USTH_Student4,-74.0,0.0,9.0
USTH_Student5,-80.0,0.0,9.0
USTH_Student6,-76.0,0.0,9.0
USTH_Student8,-79.0,0.0,9.0
USTH_Student9,-67.0,0.0,9.0
USTH_Student10,-82.0,0.0,9.0
ICTLab 5GHz,-70.0,0.0,9.0
ICTLab Guests,-57.0,0.0,9.0
USTH-Rector Board,-71.0,0.0,9.0
USTH_Guest1,-80.0,0.0,9.0
USTH_Guest2,-74.0,0.0,9.0
USTH_Guest3,-80.0,0.0,9.0
USTH_Guest4,-80.0,0.0,9.0
USTH_Guest5,-80.0,0.0,9.0
USTH_Guest6,-76.0,0.0,9.0
USTH_Guest7,-69.0,0.0,9.0
USTH_Guest8,-80.0,0.0,10.0
USTH_Guest9,-57.0,0.0,10.0
USTH_MGMT1,-81.0,0.0,10.0
USTH_MGMT3,-70.0,0.0,10.0
USTH_MGMT4,-81.0,0.0,10.0
USTH_MGMT5,-72.0,0.0,10.0
USTH_MGMT6,-74.0,0.0,10.0
USTH_MGMT8,-69.0,0.0,10.0
USTH_MGMT9,-79.0,0.0,10.0
USTH_MGMT10,-83.0,0.0,10.0
USTH_MGMT11,-76.0,0.0,10.0
USTH_Office1,-79.0,0.0,10.0
USTH_Office2,-80.0,0.0,10.0
USTH_Office3,-82.0,0.0,10.0
USTH_Office4,-73.0,0.0,10.0
USTH_Office5,-74.0,0.0,10.0
USTH_Office6,-71.0,0.0,10.0
USTH_Office7,-82.0,0.0,10.0
USTH_Office8,-71.0,0.0,10.0
USTH_Office9,-58.0,0.0,10.0
USTH_Office10,-67.0,0.0,10.0
USTH_Office11,-80.0,0.0,10.0
USTH_Office12,-76.0,0.0,10.0
USTH_Student1,-78.0,0.0,10.0
USTH_Student2,-82.0,0.0,10.0
USTH_Student3,-80.0,0.0,10.0
USTH_Student4,-72.0,0.0,10.0
USTH_Student5,-82.0,0.0,10.0
USTH_Student6,-72.0,0.0,10.0
USTH_Student7,-81.0,0.0,10.0
USTH_Student8,-57.0,0.0,10.0
USTH_Student9,-77.0,0.0,10.0
USTH_Student10,-74.0,0.0,10.0
ICTLab,-80.0,0.0,10.0
ICTLab 5GHz,-76.0,0.0,10.0
ICTLab Students,-79.0,0.0,10.0
USTH-Rector Board,-67.0,0.0,10.0
USTH_Guest1,-82.0,0.0,10.0
USTH_Guest3,-70.0,0.0,10.0
USTH_Guest4,-57.0,0.0,10.0
USTH_Guest6,-71.0,0.0,10.0
USTH_Guest7,-80.0,0.0,10.0
USTH_Guest8,-74.0,0.0,10.0
USTH_Guest9,-80.0,0.0,10.0
USTH_Guest10,-80.0,0.0,10.0
USTH_MGMT1,-80.0,0.0,10.0
USTH_MGMT2,-76.0,0.0,10.0
USTH_MGMT3,-69.0,0.0,10.0
USTH_MGMT4,-80.0,0.0,11.0
USTH_MGMT5,-57.0,0.0,11.0
USTH_MGMT7,-81.0,0.0,11.0
USTH_MGMT9,-70.0,0.0,11.0
USTH_MGMT10,-81.0,0.0,11.0
USTH_MGMT11,-72.0,0.0,11.0
USTH_Office1,-74.0,0.0,11.0
USTH_Office3,-69.0,0.0,11.0
USTH_Office4,-79.0,0.0,11.0
USTH_Office5,-83.0,0.0,11.0
USTH_Office6,-76.0,0.0,11.0
USTH_Office7,-79.0,0.0,11.0
USTH_Office8,-80.0,0.0,11.0
USTH_Office9,-82.0,0.0,11.0
USTH_Office10,-73.0,0.0,11.0
USTH_Office11,-74.0,0.0,11.0
USTH_Office12,-71.0,0.0,11.0
USTH_Student1,-82.0,0.0,11.0
USTH_Student2,-71.0,0.0,11.0
USTH_Student3,-58.0,0.0,11.0
USTH_Student4,-67.0,0.0,11.0
USTH_Student5,-80.0,0.0,11.0
USTH_Student6,-76.0,0.0,11.0
USTH_Student7,-78.0,0.0,11.0
USTH_Student8,-82.0,0.0,11.0
USTH_Student9,-80.0,0.0,11.0
USTH_Student10,-72.0,0.0,11.0
ICTLab,-82.0,0.0,11.0
ICTLab 5GHz,-72.0,0.0,11.0
ICTLab Guests,-81.0,0.0,11.0
ICTLab Students,-57.0,0.0,11.0
USTH-Rector Board,-77.0,0.0,11.0
USTH_Guest1,-74.0,0.0,11.0
USTH_Guest2,-80.0,0.0,11.0
USTH_Guest3,-76.0,0.0,11.0
USTH_Guest5,-79.0,0.0,11.0
USTH_Guest6,-67.0,0.0,11.0
USTH_Guest7,-82.0,0.0,11.0
USTH_Guest9,-70.0,0.0,11.0
USTH_Guest10,-57.0,0.0,11.0
USTH_MGMT2,-71.0,0.0,11.0
USTH_MGMT3,-80.0,0.0,11.0
USTH_MGMT4,-74.0,0.0,11.0
USTH_MGMT5,-80.0,0.0,11.0
USTH_MGMT6,-80.0,0.0,11.0
USTH_MGMT7,-80.0,0.0,11.0
USTH_MGMT8,-76.0,0.0,11.0
USTH_MGMT9,-69.0,0.0,11.0
USTH_MGMT10,-80.0,0.0,12.0
USTH_MGMT11,-57.0,0.0,12.0
USTH_Office2,-81.0,0.0,12.0
USTH_Office4,-70.0,0.0,12.0
USTH_Office5,-81.0,0.0,12.0
USTH_Office6,-72.0,0.0,12.0
USTH_Office7,-74.0,0.0,12.0
USTH_Office9,-69.0,0.0,12.0
USTH_Office10,-79.0,0.0,12.0
USTH_Office11,-83.0,0.0,12.0
USTH_Office12,-76.0,0.0,12.0
USTH_Student1,-79.0,0.0,12.0
USTH_Student2,-80.0,0.0,12.0
USTH_Student3,-82.0,0.0,12.0
USTH_Student4,-73.0,0.0,12.0
USTH_Student5,-74.0,0.0,12.0
USTH_Student6,-71.0,0.0,12.0
USTH_Student7,-82.0,0.0,12.0
USTH_Student8,-71.0,0.0,12.0
USTH_Student9,-58.0,0.0,12.0
USTH_Student10,-67.0,0.0,12.0
ICTLab,-80.0,0.0,12.0
ICTLab 5GHz,-76.0,0.0,12.0
ICTLab Guests,-78.0,0.0,12.0
ICTLab Students,-82.0,0.0,12.0
USTH-Rector Board,-80.0,0.0,12.0
USTH_Guest1,-72.0,0.0,12.0
USTH_Guest2,-82.0,0.0,12.0
USTH_Guest3,-72.0,0.0,12.0
USTH_Guest4,-81.0,0.0,12.0
USTH_Guest5,-57.0,0.0,12.0
USTH_Guest6,-77.0,0.0,12.0
USTH_Guest7,-74.0,0.0,12.0
USTH_Guest8,-80.0,0.0,12.0
USTH_Guest9,-76.0,0.0,12.0
USTH_MGMT1,-79.0,0.0,12.0
USTH_MGMT2,-67.0,0.0,12.0
USTH_MGMT3,-82.0,0.0,12.0
USTH_MGMT5,-70.0,0.0,12.0
USTH_MGMT6,-57.0,0.0,12.0
USTH_MGMT8,-71.0,0.0,12.0
USTH_MGMT9,-80.0,0.0,12.0
USTH_MGMT10,-74.0,0.0,12.0
USTH_MGMT11,-80.0,0.0,12.0
USTH_Office1,-80.0,0.0,12.0
USTH_Office2,-80.0,0.0,12.0
USTH_Office3,-76.0,0.0,12.0
USTH_Office4,-69.0,0.0,12.0
USTH_Office5,-80.0,0.0,13.0
USTH_Office6,-57.0,0.0,13.0
USTH_Office8,-81.0,0.0,13.0
USTH_Office10,-70.0,0.0,13.0
USTH_Office11,-81.0,0.0,13.0
USTH_Office12,-72.0,0.0,13.0
USTH_Student1,-74.0,0.0,13.0
USTH_Student3,-69.0,0.0,13.0
USTH_Student4,-79.0,0.0,13.0
USTH_Student5,-83.0,0.0,13.0
USTH_Student6,-76.0,0.0,13.0
USTH_Student7,-79.0,0.0,13.0
USTH_Student8,-80.0,0.0,13.0
USTH_Student9,-82.0,0.0,13.0
USTH_Student10,-73.0,0.0,13.0
ICTLab,-74.0,0.0,13.0
ICTLab 5GHz,-71.0,0.0,13.0
